frame,time_s,Kc,Kh,target_speed,target_heading_deg,heading_error_deg,heading_correction,error_L,error_R,command_L,command_R,left_speed,right_speed,v,w,theta_deg,x,y
276,4.416,2.0,40.0,100.0,0.0,-2.1906,-1.5293,33.8444,30.7708,67.6889,61.5416,67.685,67.6997,67.6924,0.0002,2.1908,488.93,249.49
279,4.464,2.0,40.0,100.0,0.0,-2.1913,-1.5298,33.8445,30.7707,67.6891,61.5415,67.6854,67.6993,67.6924,0.0002,2.1915,492.18,249.62
282,4.512,2.0,40.0,100.0,0.0,-2.1919,-1.5302,33.8446,30.7707,67.6892,61.5413,67.6858,67.699,67.6924,0.0002,2.1921,495.42,249.74
285,4.56,2.0,40.0,100.0,0.0,-2.1925,-1.5307,33.8447,30.7706,67.6894,61.5412,67.6861,67.6986,67.6924,0.0002,2.1927,498.67,249.86
288,4.608,2.0,40.0,100.0,0.0,-2.1931,-1.5311,33.8448,30.7705,67.6895,61.541,67.6864,67.6983,67.6924,0.0002,2.1933,501.92,249.99
291,4.656,2.0,40.0,100.0,0.0,-2.1936,-1.5314,33.8448,30.7705,67.6897,61.5409,67.6867,67.698,67.6924,0.0002,2.1938,505.17,250.11
294,4.704,2.0,40.0,100.0,0.0,-2.1941,-1.5318,33.8449,30.7704,67.6898,61.5408,67.687,67.6977,67.6924,0.0002,2.1943,508.41,250.24
297,4.752,2.0,40.0,100.0,0.0,-2.1946,-1.5321,33.845,30.7703,67.6899,61.5407,67.6873,67.6975,67.6924,0.0002,2.1948,511.66,250.36
300,4.8,2.0,40.0,100.0,0.0,-2.1951,-1.5324,33.845,30.7703,67.69,61.5406,67.6875,67.6972,67.6923,0.0002,2.1952,514.91,250.49
303,4.848,2.0,40.0,100.0,0.0,-2.1955,-1.5328,33.8451,30.7702,67.6902,61.5404,67.6878,67.6969,67.6923,0.0002,2.1956,518.15,250.61
306,4.896,2.0,40.0,100.0,0.0,-2.1959,-1.533,33.8451,30.7702,67.6903,61.5403,67.688,67.6967,67.6923,0.0001,2.1961,521.4,250.73
309,4.944,2.0,40.0,100.0,0.0,-2.1963,-1.5333,33.8452,30.7701,67.6904,61.5403,67.6882,67.6965,67.6923,0.0001,2.1964,524.65,250.86
312,4.992,2.0,40.0,100.0,0.0,-2.1967,-1.5336,33.8452,30.7701,67.6905,61.5402,67.6884,67.6963,67.6923,0.0001,2.1968,527.89,250.98
315,5.04,2.0,40.0,100.0,0.0,-2.197,-1.5338,33.8453,30.77,67.6906,61.5401,67.6886,67.6961,67.6923,0.0001,2.1972,531.14,251.11
318,5.088,2.0,40.0,100.0,0.0,-2.1974,-1.5341,33.8453,30.77,67.6907,61.54,67.6888,67.6959,67.6923,0.0001,2.1975,534.39,251.23
321,5.136,2.0,40.0,100.0,0.0,-2.1977,-1.5343,33.8454,30.77,67.6907,61.5399,67.689,67.6957,67.6923,0.0001,2.1978,537.63,251.36
324,5.184,2.0,40.0,100.0,0.0,-2.198,-1.5345,33.8454,30.7699,67.6908,61.5398,67.6891,67.6955,67.6923,0.0001,2.1981,540.88,251.48
327,5.232,2.0,40.0,100.0,0.0,-2.1983,-1.5347,33.8454,30.7699,67.6909,61.5398,67.6893,67.6954,67.6923,0.0001,2.1984,544.13,251.61
330,5.28,2.0,40.0,100.0,0.0,-2.1986,-1.5349,33.8455,30.7699,67.691,61.5397,67.6895,67.6952,67.6923,0.0001,2.1986,547.37,251.73
